                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8816,                 4.4425,                   1.59,                 0.0022,                0.37755,                0.02116,                 0.0093,                 1.2743,                 3.9362,                  1.292,             0.00038341,             0.00038341,             0.00038341
                      2,                 1.3438,                 2.5417,                  1.201,                0.00132,                0.18878,                0.03908,                0.02214,                 1.6566,                 4.2672,                 1.6391,             0.00077573,             0.00077573,             0.00077573
                      3,                  1.393,                  2.215,                 1.2443,                0.80803,                0.06553,                0.15185,                0.09099,                 1.5375,                 3.4519,                 1.5637,              0.0011601,              0.0011601,              0.0011601
                      4,                 1.3103,                 2.2363,                 1.2347,                0.72421,                0.15816,                0.14241,                0.08604,                 1.5133,                 2.7452,                 1.6146,              0.0015366,              0.0015366,              0.0015366
                      5,                 1.3567,                 1.9452,                 1.2371,                0.65705,                0.19388,                0.11957,                0.05731,                 1.7758,                 2.7788,                  1.704,               0.001601,               0.001601,               0.001601
                      6,                 1.3336,                 1.7937,                 1.2228,                0.65248,                0.21715,                0.12853,                0.07102,                 1.4845,                 2.5791,                 1.5862,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.3258,                 1.7447,                 1.2222,                0.73439,                0.19388,                0.15971,                   0.09,                 1.6651,                 2.6835,                 1.5329,               0.001568,               0.001568,               0.001568
                      8,                 1.2711,                 1.6374,                 1.1858,                0.66931,                0.17347,                0.13193,                0.07387,                 1.5551,                 2.5109,                 1.5674,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.277,                 1.6333,                 1.2051,                0.64622,                 0.2398,                0.14401,                0.09194,                 1.3927,                 2.5776,                 1.4622,               0.001535,               0.001535,               0.001535
                     10,                 1.2256,                 1.5057,                 1.1893,                0.70194,                0.29036,                0.18626,                0.11246,                 1.3918,                 2.1349,                 1.4144,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2446,                 1.5022,                 1.1974,                0.68631,                0.16327,                0.09956,                0.06208,                 1.4819,                 2.6707,                  1.533,               0.001502,               0.001502,               0.001502
                     12,                 1.1709,                 1.4795,                 1.1352,                0.74495,                 0.2499,                0.19527,                0.11915,                 1.3495,                 1.9384,                 1.3926,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1958,                 1.4317,                 1.1585,                0.71028,                   0.25,                0.18775,                0.10629,                 1.4517,                 2.0748,                 1.4173,               0.001469,               0.001469,               0.001469
                     14,                 1.1926,                 1.4375,                 1.1598,                0.23677,                0.23469,                 0.1931,                0.11796,                 1.2458,                 1.8696,                 1.3182,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1946,                  1.391,                 1.1716,                0.74263,                 0.2449,                0.20772,                0.14238,                 1.2328,                  2.056,                 1.3377,               0.001436,               0.001436,               0.001436
                     16,                 1.1366,                 1.3988,                 1.1345,                0.71627,                0.33673,                0.23696,                0.14577,                  1.277,                 2.1866,                  1.374,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1925,                 1.4221,                 1.1476,                0.72297,                 0.2449,                0.21541,                0.14223,                 1.2932,                 2.0502,                 1.3987,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1515,                 1.2888,                 1.1308,                0.68664,                0.26531,                0.16905,                0.10753,                 1.3261,                 2.0532,                 1.3236,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1386,                 1.2865,                 1.1325,                0.69448,                0.27551,                0.19118,                0.12225,                 1.3089,                 1.8674,                 1.3458,              0.0013699,              0.0013699,              0.0013699
                     20,                  1.056,                  1.288,                 1.0927,                0.71145,                0.26546,                0.20851,                0.13144,                 1.2644,                 1.8861,                 1.3265,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.1021,                 1.2835,                 1.1263,                0.71567,                0.20897,                 0.1853,                0.11622,                  1.217,                 1.9678,                  1.328,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1107,                 1.3514,                   1.12,                0.73644,                0.28571,                0.24318,                0.15577,                 1.2244,                 1.9895,                 1.3182,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0913,                 1.2354,                 1.0949,                0.76508,                 0.2398,                0.21648,                0.13742,                 1.2814,                 1.7915,                 1.3263,              0.0013039,              0.0013039,              0.0013039
                     24,                  1.049,                 1.1668,                 1.0944,                0.74509,                0.28571,                0.23183,                 0.1413,                 1.3645,                 1.8664,                 1.4107,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.0835,                 1.2349,                 1.0949,                0.72864,                0.30102,                0.23957,                 0.1591,                 1.1797,                 1.8267,                 1.2931,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.0937,                  1.213,                 1.0933,                 0.2284,                0.27551,                0.21642,                0.14765,                 1.1461,                  1.968,                 1.2509,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0552,                 1.1774,                 1.0686,                0.72949,                   0.29,                0.24547,                0.15539,                 1.2683,                 2.0068,                 1.3214,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0432,                 1.1304,                 1.0892,                 0.7635,                0.25582,                0.19548,                0.13221,                 1.3022,                 2.3536,                 1.3543,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.0229,                 1.1494,                 1.0619,                0.71685,                0.27041,                0.23526,                0.15563,                 1.1938,                 1.7266,                 1.2848,              0.0012049,              0.0012049,              0.0012049
                     30,                  1.022,                 1.1244,                 1.0562,                0.19755,                0.30102,                0.21174,                0.13633,                 1.2758,                 1.8163,                 1.3817,              0.0011884,              0.0011884,              0.0011884
                     31,                  1.042,                 1.0706,                 1.0709,                0.74923,                 0.2398,                 0.2188,                0.14768,                 1.1531,                 2.2101,                 1.2906,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0143,                 1.0854,                 1.0651,                0.24181,                0.27041,                0.23694,                0.16608,                 1.1324,                 1.9431,                 1.2792,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0165,                 1.0863,                  1.053,                0.71384,                0.26531,                0.22881,                0.15075,                 1.1176,                 1.7219,                 1.2359,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0049,                 1.0741,                 1.0601,                0.71107,                0.32653,                0.26624,                0.18858,                  1.165,                 1.6513,                 1.2628,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0125,                  1.049,                 1.0701,                0.24206,                0.30612,                0.23928,                0.16067,                 1.1822,                 1.7665,                 1.3015,              0.0011059,              0.0011059,              0.0011059
                     36,                0.97792,                 1.0458,                 1.0453,                0.21332,                0.32651,                0.23243,                0.15116,                 1.1131,                 1.6637,                 1.2434,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0095,                 1.0598,                 1.0512,                0.77043,                0.25846,                0.25412,                0.18348,                 1.0863,                 1.6245,                  1.246,              0.0010729,              0.0010729,              0.0010729
                     38,                0.99962,                 1.0552,                 1.0476,                 0.2256,                0.30612,                0.23301,                0.15892,                 1.1426,                 1.7438,                  1.284,              0.0010564,              0.0010564,              0.0010564
