                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5529,                 5.8429,                 4.1967,                0.00024,                0.05612,                0.00019,                  5e-05,                 3.3054,                 5.2766,                 4.1436,             0.00038341,             0.00038341,             0.00038341
                      2,                 2.7137,                 3.8841,                 3.5418,                0.00024,                0.05612,                0.00018,                  5e-05,                 3.1051,                 5.1543,                 4.0081,             0.00077573,             0.00077573,             0.00077573
                      3,                 2.2648,                 3.2289,                 2.9241,                0.00107,                0.23469,                0.01756,                0.00803,                 2.2865,                  4.533,                 3.3955,              0.0011601,              0.0011601,              0.0011601
                      4,                 1.9394,                 3.1978,                 2.5859,                0.64953,                0.04082,                0.07698,                0.03655,                 1.9677,                 3.6323,                 2.8491,              0.0015366,              0.0015366,              0.0015366
                      5,                 1.9065,                 2.7669,                 2.4001,                0.55501,                0.17347,                0.06362,                0.02908,                  2.032,                 3.6661,                  2.733,               0.001601,               0.001601,               0.001601
                      6,                 1.8172,                 2.6153,                 2.3217,                0.65182,                0.17347,                0.11266,                0.05116,                 2.0259,                  3.556,                 2.7804,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.7033,                 2.4813,                 2.1782,                0.64568,                0.19388,                0.11429,                0.05674,                 1.7844,                 3.1141,                  2.521,               0.001568,               0.001568,               0.001568
                      8,                  1.631,                 2.3591,                 2.0903,                0.66175,                0.28061,                0.16958,                0.08258,                 1.7124,                 2.8397,                 2.4446,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5684,                 2.3419,                   2.03,                0.16602,                0.26531,                 0.1733,                 0.0968,                 1.6158,                 3.0617,                 2.3008,               0.001535,               0.001535,               0.001535
                     10,                 1.5458,                 2.1984,                 2.0181,                0.19744,                0.18878,                0.14496,                0.07168,                  1.753,                 2.9485,                 2.4848,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4729,                 2.1491,                  1.929,                 0.6689,                0.20408,                0.14153,                 0.0797,                  1.535,                 2.8657,                 2.2091,               0.001502,               0.001502,               0.001502
                     12,                  1.444,                 2.0416,                 1.8786,                0.72157,                0.21114,                0.17832,                0.10855,                 1.5753,                 2.4573,                 2.2171,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4186,                  2.021,                 1.8482,                0.67325,                 0.2602,                0.16869,                0.09365,                 1.5024,                 2.4689,                  2.192,               0.001469,               0.001469,               0.001469
                     14,                 1.4047,                 1.9958,                 1.8351,                0.69315,                0.22959,                0.16314,                0.08217,                 1.5889,                 2.4252,                 2.2403,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4267,                 1.9501,                 1.8561,                0.69835,                0.27551,                0.19657,                0.12704,                 1.3408,                  2.142,                  2.037,               0.001436,               0.001436,               0.001436
                     16,                 1.3348,                 1.8541,                 1.7876,                0.73113,                0.30264,                 0.2139,                0.12596,                 1.4417,                  2.653,                 2.1144,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.367,                 1.8851,                 1.7759,                0.69681,                0.28484,                0.18872,                0.10031,                 1.6183,                 4.2025,                 2.3009,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3579,                 1.7628,                  1.761,                0.72893,                0.29082,                0.23677,                0.13186,                 1.5141,                 1.9239,                  2.209,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.3071,                 1.6767,                 1.7334,                0.73355,                0.30102,                0.21433,                0.12225,                 1.5233,                 2.3338,                  2.228,              0.0013699,              0.0013699,              0.0013699
                     20,                  1.269,                 1.6522,                 1.7124,                0.72233,                0.28061,                0.20323,                 0.1167,                 1.5301,                 2.0164,                 2.1492,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2994,                 1.6705,                 1.7158,                0.80148,                 0.2092,                0.24092,                0.15256,                 1.4181,                 1.9697,                 2.0236,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3154,                 1.6596,                 1.7411,                0.69857,                0.27551,                0.19369,                0.11837,                 1.5528,                  2.299,                 2.2181,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2589,                 1.6384,                 1.6391,                0.70692,                0.29592,                0.20836,                0.12375,                 1.4147,                 2.0181,                 2.0643,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2323,                 1.5579,                 1.6669,                0.73196,                0.28571,                  0.225,                0.13397,                 1.4618,                 2.0393,                 2.1052,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2408,                 1.6275,                 1.6248,                0.72191,                0.28571,                0.21129,                0.13037,                 1.4171,                 1.9723,                 1.9685,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2496,                 1.5384,                 1.6375,                0.71988,                0.27551,                0.22596,                0.13982,                 1.4441,                 2.0401,                 2.0416,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.2109,                 1.4683,                  1.602,                0.74942,                0.27551,                0.22748,                0.14427,                 1.3232,                 1.8855,                 1.9132,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2052,                 1.4245,                 1.6268,                0.74018,                0.26885,                0.20361,                0.11966,                 1.3693,                 2.0516,                 1.9999,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1885,                 1.4688,                 1.5848,                0.71038,                0.28571,                 0.2106,                0.13445,                 1.3611,                  2.233,                 1.9476,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1676,                 1.3902,                 1.5678,                 0.7488,                0.28299,                0.22201,                0.14197,                 1.3339,                 1.8862,                 1.9701,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.1636,                 1.3414,                 1.5564,                0.74383,                0.24768,                0.22785,                0.14564,                 1.3741,                 1.9727,                 1.9524,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1631,                 1.3269,                 1.5495,                0.68329,                0.28571,                0.19553,                0.12895,                 1.3654,                 2.7904,                 1.9619,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1546,                 1.3595,                 1.5361,                0.70328,                0.31122,                0.22385,                0.13194,                 1.4174,                 2.9343,                 2.0623,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1378,                 1.3173,                 1.5314,                0.73086,                 0.2551,                0.22431,                0.14478,                 1.3212,                 2.0068,                 1.9453,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1615,                 1.3071,                  1.555,                0.70609,                0.35714,                  0.224,                0.13782,                 1.4225,                 1.7943,                 1.9979,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.145,                 1.3046,                 1.5474,                0.71714,                0.27041,                0.21098,                0.14349,                 1.3142,                 1.9445,                 1.9032,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.143,                 1.3095,                 1.5232,                0.72487,                0.27106,                0.22906,                0.14158,                 1.3692,                 1.9239,                 1.9815,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1214,                 1.3125,                   1.51,                0.71185,                0.34694,                0.24792,                0.16612,                 1.2425,                 1.6347,                 1.8472,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1278,                 1.2666,                 1.5011,                0.73573,                0.29592,                0.24249,                0.15399,                 1.3711,                 1.7535,                 2.0271,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1285,                 1.1754,                 1.4982,                 0.7229,                0.27551,                0.23411,                0.15336,                 1.2585,                 2.1264,                 1.8666,              0.0010234,              0.0010234,              0.0010234
