                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8483,                 4.5978,                 1.2622,                0.41005,                 0.1588,                0.13484,                0.06916,                 1.6274,                 2.9669,                  1.216,              0.0004144,              0.0004144,              0.0004144
                      2,                 1.7576,                  2.817,                 1.2227,                0.57417,                0.31446,                 0.2898,                0.15666,                 1.6308,                 2.0298,                 1.2059,             0.00082284,             0.00082284,             0.00082284
                      3,                 1.7636,                 2.2603,                 1.2189,                0.52241,                0.29288,                0.25208,                0.12621,                 1.6819,                 2.3441,                 1.2371,               0.001223,               0.001223,               0.001223
                      4,                 1.7518,                  2.109,                 1.2162,                0.51706,                 0.2565,                0.22716,                0.12125,                 1.6455,                 2.4299,                 1.2265,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.703,                 1.9877,                 1.1919,                0.35484,                0.28236,                0.29982,                0.17306,                  1.535,                 1.9425,                 1.1911,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.6359,                 1.8935,                 1.1764,                0.35364,                0.27652,                0.28637,                 0.1529,                  1.578,                 2.0745,                 1.1885,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.6455,                  1.853,                 1.1776,                0.29104,                0.26184,                0.26501,                0.15541,                 1.5858,                  2.047,                 1.2108,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.6071,                 1.8026,                 1.1629,                0.43375,                0.36246,                0.30686,                0.17409,                 1.4801,                 2.4174,                 1.1656,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.5903,                 1.7264,                 1.1501,                0.58593,                0.34413,                0.28948,                0.16002,                 1.5137,                 3.2265,                 1.1613,               0.001151,               0.001151,               0.001151
                     10,                  1.562,                 1.7016,                 1.1306,                0.46191,                0.07138,                0.11728,                0.06772,                 1.8368,                 4.0363,                 1.3106,              0.0011386,              0.0011386,              0.0011386
