                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1699,                 7.2795,                 3.3037,                0.65863,                0.17404,                0.13015,                0.05332,                 2.1875,                 4.5641,                 2.4255,              0.0004144,              0.0004144,              0.0004144
                      2,                 2.0643,                 3.9297,                  1.988,                0.44184,                 0.2709,                0.21286,                0.11292,                 1.8077,                  3.905,                  1.871,             0.00082284,             0.00082284,             0.00082284
                      3,                  1.942,                 3.1741,                 1.7576,                0.41044,                0.23841,                 0.1584,                0.07708,                 1.7883,                 3.0358,                 1.7818,               0.001223,               0.001223,               0.001223
                      4,                 1.8657,                 2.6591,                 1.6654,                0.72807,                0.27373,                0.23542,                0.13129,                 1.7278,                 2.9276,                  1.745,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.804,                 2.3338,                  1.618,                0.44079,                0.29016,                0.24784,                 0.1316,                 1.7253,                 3.0543,                 1.6966,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.7431,                 2.1562,                 1.5796,                0.50174,                 0.2519,                0.23104,                0.12541,                 1.7015,                 2.4423,                 1.6579,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.7367,                 2.0181,                 1.5529,                0.69814,                0.27577,                0.15896,                0.08476,                 1.6566,                 2.4194,                 1.6654,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.6758,                 1.9413,                 1.5166,                0.77309,                0.26499,                0.29461,                0.16704,                 1.5969,                 2.4043,                 1.5856,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.6606,                 1.8688,                  1.497,                0.76673,                0.23276,                0.23449,                0.13625,                 1.5313,                 3.9382,                 1.5278,               0.001151,               0.001151,               0.001151
                     10,                 1.6441,                 1.8227,                 1.4743,                0.35905,                 0.3013,                 0.3205,                0.19121,                 1.5759,                 1.9305,                 1.5456,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.6261,                 1.7993,                 1.4719,                0.34822,                0.26359,                0.29193,                0.16341,                 1.6356,                 2.4393,                 1.6059,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.6241,                 1.7779,                 1.4754,                0.26334,                0.35787,                0.29527,                0.18127,                 1.5066,                 1.9665,                 1.5126,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.5912,                 1.7042,                  1.446,                0.46374,                0.31066,                 0.2272,                 0.1366,                 1.5465,                 2.0114,                 1.5527,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.5837,                 1.6951,                 1.4295,                0.36033,                0.37333,                0.33339,                0.19518,                 1.5384,                  1.853,                 1.5298,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.5556,                 1.6497,                  1.424,                 0.4279,                0.33171,                0.32476,                0.19444,                 1.5388,                 1.9282,                 1.5048,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.5578,                 1.6455,                  1.417,                0.35145,                0.32411,                0.32915,                 0.1983,                 1.5461,                 1.8137,                 1.5192,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.5342,                 1.6013,                 1.4032,                0.36573,                0.32558,                0.33358,                0.19534,                 1.5572,                 1.8243,                 1.5391,               0.001052,               0.001052,               0.001052
